File,Interaction,Gender,Duration,Emotion,Emotion_Id,Valence,Activation,Dominance
Ses01F_impro03_F002-1,improvised,Female,2.5699999999999985,happy,1,4.3333,3.0000,2.3333
Ses01F_impro03_F004-1,improvised,Female,3.7699999999999996,happy,1,4.6667,3.6667,2.3333
Ses01F_impro03_F005-1,improvised,Female,2.5816000000000017,happy,1,4.3333,4.0000,2.3333
Ses01F_impro03_F006-1,improvised,Female,6.34,happy,1,4.0000,3.3333,2.6667
Ses01F_impro03_F008-1,improvised,Female,2.6700000000000017,happy,1,4.0000,3.3333,2.3333
Ses01F_impro03_F009-1,improvised,Female,1.6999999999999957,happy,1,4.0000,2.6667,2.3333
Ses01F_impro03_F010-1,improvised,Female,3.2050000000000054,happy,1,4.0000,3.3333,3.0000
Ses01F_impro03_F012-1,improvised,Female,2.2849999999999966,happy,1,4.0000,3.6667,2.6667
Ses01F_impro03_F013-1,improvised,Female,5.130000000000003,happy,1,5.0000,4.0000,3.3333
Ses01F_impro03_F015-1,improvised,Female,4.575000000000003,happy,1,4.6667,3.6667,3.0000
Ses01F_impro03_F016-1,improvised,Female,2.052500000000009,happy,1,4.0000,3.0000,2.3333
Ses01F_impro03_F017-3,improvised,Female,2.9825000000000017,neutral,3,3.6667,2.6667,2.3333
Ses01F_impro03_F018-3,improvised,Female,2.9224999999999994,neutral,3,3.6667,3.0000,2.0000
Ses01F_impro03_F019-3,improvised,Female,1.4200000000000017,neutral,3,3.6667,2.3333,2.0000
Ses01F_impro03_F021-1,improvised,Female,5.459999999999994,happy,1,3.3333,3.6667,2.6667
Ses01F_impro03_F022-3,improvised,Female,2.2524999999999977,neutral,3,3.3333,2.6667,2.0000
Ses01F_impro03_F023-3,improvised,Female,0.8425000000000011,neutral,3,3.0000,2.3333,2.0000
Ses01F_impro03_F024-1,improvised,Female,4.402500000000003,happy,1,4.3333,3.0000,2.6667
Ses01F_impro03_F025-1,improvised,Female,3.9299999999999926,happy,1,4.3333,3.3333,3.3333
Ses01F_impro03_F026-1,improvised,Female,6.010000000000005,happy,1,4.6667,4.0000,3.0000
Ses01F_impro03_M000-3,improvised,Male,2.2199999999999998,neutral,3,4.0000,3.0000,2.6667
Ses01F_impro03_M001-3,improvised,Male,2.0600000000000005,neutral,3,4.3333,2.6667,2.3333
Ses01F_impro03_M003-1,improvised,Male,3.977499999999999,happy,1,5.0000,4.6667,3.0000
Ses01F_impro03_M006-3,improvised,Male,2.0900000000000034,neutral,3,4.0000,2.6667,2.3333
Ses01F_impro03_M007-1,improvised,Male,2.7524999999999977,happy,1,4.0000,3.0000,2.3333
Ses01F_impro03_M008-3,improvised,Male,1.3199999999999932,neutral,3,4.0000,2.6667,2.0000
Ses01F_impro03_M009-3,improvised,Male,4.910000000000004,neutral,3,3.6667,2.3333,2.3333
Ses01F_impro03_M011-3,improvised,Male,3.9299999999999997,neutral,3,3.6667,3.6667,2.6667
Ses01F_impro03_M013-1,improvised,Male,2.7974999999999994,happy,1,4.6667,4.0000,3.0000
Ses01F_impro03_M014-1,improvised,Male,3.5875000000000057,happy,1,4.3333,3.6667,2.6667
Ses01F_impro03_M015-1,improvised,Male,2.180000000000007,happy,1,4.0000,3.0000,2.6667
Ses01F_impro03_M016-3,improvised,Male,1.8049999999999926,neutral,3,3.6667,2.6667,2.6667
Ses01F_impro03_M019-3,improvised,Male,4.789999999999992,neutral,3,3.0000,3.0000,2.3333
Ses01F_impro03_M020-3,improvised,Male,4.6200000000000045,neutral,3,3.3333,3.0000,2.6667
Ses01F_impro03_M021-3,improvised,Male,2.6799999999999926,neutral,3,3.0000,3.3333,2.6667
Ses01F_impro03_M022-1,improvised,Male,1.6599999999999966,happy,1,4.0000,3.3333,2.6667
Ses01F_impro03_M023-1,improvised,Male,3.690000000000012,happy,1,4.6667,4.3333,3.6667
Ses01F_impro03_M024-3,improvised,Male,2.219999999999999,neutral,3,3.6667,2.6667,2.3333
Ses01F_impro04_F000-3,improvised,Female,4.394500000000001,neutral,3,3.0000,3.0000,3.0000
Ses01F_impro04_F001-3,improvised,Female,4.405199999999999,neutral,3,2.5000,2.5000,3.0000
Ses01F_impro04_F005-3,improvised,Female,2.4095999999999975,neutral,3,3.0000,2.0000,2.5000
Ses01F_impro04_F006-3,improvised,Female,3.5564999999999998,neutral,3,3.0000,3.5000,3.5000
Ses01F_impro04_F009-3,improvised,Female,1.3836999999999975,neutral,3,2.5000,2.5000,2.5000
Ses01F_impro04_F013-3,improvised,Female,4.236900000000006,neutral,3,3.0000,3.5000,3.5000
Ses01F_impro04_F014-3,improvised,Female,1.490000000000009,neutral,3,2.5000,3.0000,2.5000
Ses01F_impro04_F028-0,improvised,Female,2.009999999999991,angry,0,2.0000,3.5000,3.5000
Ses01F_impro04_F029-0,improvised,Female,3.1599999999999966,angry,0,1.5000,4.0000,4.0000
Ses01F_impro04_F030-0,improvised,Female,3.1850000000000023,angry,0,1.5000,3.5000,4.0000
Ses01F_impro04_F031-0,improvised,Female,4.400000000000006,angry,0,1.5000,3.0000,3.5000
Ses01F_impro04_F032-0,improvised,Female,2.9000000000000057,angry,0,2.0000,3.5000,3.5000
Ses01F_impro04_F033-0,improvised,Female,5.844999999999999,angry,0,1.5000,3.5000,4.5000
Ses01F_impro04_M000-3,improvised,Male,3.9156999999999997,neutral,3,3.0000,2.5000,2.5000
Ses01F_impro04_M001-3,improvised,Male,1.67,neutral,3,3.0000,2.5000,2.0000
Ses01F_impro04_M002-3,improvised,Male,3.259999999999998,neutral,3,3.0000,2.5000,3.0000
Ses01F_impro04_M003-3,improvised,Male,1.8000000000000007,neutral,3,3.0000,2.5000,2.5000
Ses01F_impro04_M004-3,improvised,Male,4.642500000000002,neutral,3,3.0000,3.0000,3.0000
Ses01F_impro04_M005-3,improvised,Male,3.3400000000000034,neutral,3,3.0000,3.0000,3.0000
Ses01F_impro04_M006-3,improvised,Male,3.0360000000000014,neutral,3,3.0000,3.5000,2.5000
Ses01F_impro04_M007-3,improvised,Male,1.1899999999999977,neutral,3,3.5000,3.0000,2.5000
Ses01F_impro04_M008-3,improvised,Male,1.1199999999999974,neutral,3,3.0000,3.0000,2.5000
Ses01F_impro04_M009-3,improvised,Male,2.674500000000002,neutral,3,3.0000,3.0000,3.0000
Ses01F_impro04_M010-3,improvised,Male,1.75,neutral,3,3.0000,2.5000,2.0000
Ses01F_impro04_M011-3,improvised,Male,3.799999999999997,neutral,3,3.0000,3.0000,2.5000
Ses01F_impro04_M012-3,improvised,Male,2.3464000000000027,neutral,3,3.0000,3.0000,2.5000
Ses01F_impro04_M013-3,improvised,Male,3.40270000000001,neutral,3,3.0000,2.0000,3.0000
Ses01F_impro04_M014-3,improvised,Male,7.666499999999999,neutral,3,3.5000,3.5000,3.5000
Ses01F_impro04_M015-3,improvised,Male,6.8999999999999915,neutral,3,2.5000,3.5000,3.0000
Ses01F_impro04_M016-3,improvised,Male,2.9849999999999994,neutral,3,3.0000,2.5000,2.5000
Ses01F_impro04_M017-3,improvised,Male,2.8100000000000023,neutral,3,3.0000,3.5000,3.0000
Ses01F_impro04_M018-3,improvised,Male,6.064999999999998,neutral,3,3.0000,3.5000,3.0000
Ses01F_impro04_M019-3,improvised,Male,1.3100000000000023,neutral,3,3.0000,2.5000,2.5000
Ses01F_impro04_M020-3,improvised,Male,1.9200000000000017,neutral,3,3.0000,2.5000,2.5000
Ses01F_impro04_M021-3,improvised,Male,9.72999999999999,neutral,3,3.5000,3.5000,3.0000
Ses01F_impro04_M022-3,improvised,Male,2.300600000000003,neutral,3,3.0000,2.5000,2.5000
Ses01F_impro04_M023-3,improvised,Male,4.597499999999997,neutral,3,2.5000,2.5000,2.0000
Ses01F_impro04_M024-3,improvised,Male,2.1899999999999977,neutral,3,3.0000,2.5000,3.0000
Ses01F_impro04_M025-3,improvised,Male,3.200000000000017,neutral,3,3.0000,3.5000,3.5000
Ses01F_impro04_M026-3,improvised,Male,2.4000000000000057,neutral,3,3.5000,3.0000,3.0000
Ses01F_impro04_M027-3,improvised,Male,2.6624999999999943,neutral,3,3.5000,3.5000,3.5000
Ses01F_impro04_M028-3,improvised,Male,1.240000000000009,neutral,3,3.0000,2.5000,2.0000
Ses01F_impro04_M031-3,improvised,Male,2.8617000000000132,neutral,3,3.0000,2.5000,2.5000
Ses01F_impro04_M032-3,improvised,Male,2.719999999999999,neutral,3,2.5000,2.0000,1.5000
Ses01F_impro05_F008-0,improvised,Female,2.1199999999999974,angry,0,2.5000,2.5000,3.5000
Ses01F_impro05_F009-0,improvised,Female,7.32,angry,0,2.5000,2.5000,3.5000
Ses01F_impro05_F011-0,improvised,Female,1.6674999999999898,angry,0,2.0000,4.5000,3.5000
Ses01F_impro05_F012-0,improvised,Female,5.1200000000000045,angry,0,2.5000,3.5000,3.0000
Ses01F_impro05_F014-0,improvised,Female,3.3800000000000097,angry,0,1.5000,4.0000,4.0000
Ses01F_impro05_F015-0,improvised,Female,15.495000000000005,angry,0,1.5000,4.5000,4.5000
Ses01F_impro05_F016-0,improvised,Female,3.9099999999999966,angry,0,1.5000,4.5000,4.0000
Ses01F_impro05_F017-0,improvised,Female,9.364999999999995,angry,0,1.5000,5.0000,4.5000
Ses01F_impro05_F018-0,improvised,Female,2.3950000000000102,angry,0,1.5000,4.0000,4.0000
Ses01F_impro05_F019-0,improvised,Female,5.375,angry,0,1.5000,4.0000,4.5000
Ses01F_impro05_F020-0,improvised,Female,4.435000000000002,angry,0,1.5000,4.5000,4.5000
Ses01F_impro05_F021-0,improvised,Female,4.760000000000019,angry,0,1.5000,4.5000,4.5000
Ses01F_impro05_F022-0,improvised,Female,3.387500000000017,angry,0,1.5000,4.5000,4.0000
Ses01F_impro05_F023-0,improvised,Female,1.920000000000016,angry,0,2.0000,3.0000,4.0000
Ses01F_impro05_F024-0,improvised,Female,1.3799999999999955,angry,0,2.0000,3.0000,4.0000
Ses01F_impro05_F025-0,improvised,Female,3.109999999999985,angry,0,1.5000,4.5000,4.5000
Ses01F_impro05_F026-0,improvised,Female,1.4875000000000114,angry,0,2.0000,3.5000,3.5000
Ses01F_impro05_F028-0,improvised,Female,2.117500000000007,angry,0,2.0000,3.0000,4.0000
Ses01F_impro05_F029-0,improvised,Female,3.950000000000017,angry,0,1.5000,3.0000,3.5000
Ses01F_impro05_F030-0,improvised,Female,3.309999999999974,angry,0,2.0000,3.0000,3.5000
Ses01F_impro05_M000-3,improvised,Male,1.5800000000000005,neutral,3,4.0000,2.5000,2.0000
Ses01F_impro05_M001-1,improvised,Male,1.2300000000000004,happy,1,4.0000,2.5000,2.0000
Ses01F_impro05_M002-1,improvised,Male,1.1100000000000003,happy,1,4.0000,2.5000,2.0000
Ses01F_impro05_M003-3,improvised,Male,1.4800000000000004,neutral,3,4.0000,2.5000,2.0000
Ses01F_impro05_M004-3,improvised,Male,1.5199999999999996,neutral,3,3.5000,1.5000,2.0000
Ses01F_impro05_M005-3,improvised,Male,4.059999999999999,neutral,3,3.5000,2.5000,2.0000
Ses01F_impro05_M006-3,improvised,Male,1.7372000000000014,neutral,3,3.5000,2.5000,2.0000
Ses01F_impro05_M007-3,improvised,Male,5.852499999999999,neutral,3,3.5000,2.5000,2.0000
Ses01F_impro05_M008-3,improvised,Male,1.8200000000000003,neutral,3,3.0000,2.5000,2.0000
Ses01F_impro05_M009-3,improvised,Male,5.850000000000001,neutral,3,2.5000,2.5000,2.0000
Ses01F_impro05_M010-3,improvised,Male,6.109999999999999,neutral,3,2.5000,2.5000,2.0000
Ses01F_impro05_M011-3,improvised,Male,20.290000000000006,neutral,3,2.5000,2.5000,2.0000
Ses01F_impro05_M012-3,improvised,Male,2.760000000000005,neutral,3,2.5000,2.0000,1.5000
Ses01F_impro05_M013-3,improvised,Male,1.4399999999999977,neutral,3,2.5000,2.0000,1.5000
Ses01F_impro05_M014-3,improvised,Male,1.4500000000000028,neutral,3,2.5000,2.5000,1.5000
Ses01F_impro05_M015-3,improvised,Male,3.022500000000008,neutral,3,2.5000,2.0000,1.5000
Ses01F_impro05_M016-3,improvised,Male,8.237499999999997,neutral,3,2.5000,2.5000,2.0000
Ses01F_impro05_M017-3,improvised,Male,6.39500000000001,neutral,3,2.5000,2.5000,2.5000
Ses01F_impro05_M019-3,improvised,Male,1.5300000000000011,neutral,3,2.5000,2.0000,2.0000
Ses01F_impro05_M020-3,improvised,Male,1.3299999999999983,neutral,3,2.5000,2.0000,2.0000
Ses01F_impro05_M022-3,improvised,Male,2.2299999999999898,neutral,3,2.5000,2.0000,2.0000
Ses01F_impro05_M023-3,improvised,Male,7.310000000000002,neutral,3,2.5000,3.5000,2.5000
Ses01F_impro05_M024-3,improvised,Male,6.310000000000002,neutral,3,2.5000,3.0000,2.5000
Ses01F_impro05_M025-3,improvised,Male,1.375,neutral,3,2.5000,2.5000,2.0000
Ses01F_impro05_M026-3,improvised,Male,5.747500000000002,neutral,3,2.5000,2.5000,2.5000
Ses01F_impro05_M027-3,improvised,Male,1.710000000000008,neutral,3,2.5000,2.5000,2.0000
Ses01F_impro05_M028-3,improvised,Male,3.740000000000009,neutral,3,2.5000,2.5000,2.0000
Ses01F_impro05_M029-3,improvised,Male,6.47999999999999,neutral,3,2.5000,2.5000,2.5000
Ses01F_impro05_M030-3,improvised,Male,4.530000000000001,neutral,3,3.0000,2.5000,2.0000
Ses01F_impro05_M031-3,improvised,Male,2.280000000000001,neutral,3,3.0000,2.5000,2.5000
Ses01F_impro05_M034-3,improvised,Male,6.509999999999991,neutral,3,2.5000,2.5000,2.5000
Ses01F_impro05_M035-3,improvised,Male,6.310000000000002,neutral,3,2.5000,2.0000,1.5000
Ses01F_impro06_F002-2,improvised,Female,1.5799999999999983,sad,2,2.0000,1.5000,2.5000
Ses01F_impro06_F003-3,improvised,Female,1.3299999999999983,neutral,3,3.0000,2.0000,2.5000
Ses01F_impro06_F004-3,improvised,Female,1.9699999999999989,neutral,3,3.5000,2.0000,3.0000
Ses01F_impro06_F005-2,improvised,Female,6.6875,sad,2,2.0000,2.0000,4.0000
Ses01F_impro06_F006-2,improvised,Female,12.04,sad,2,3.5000,3.0000,4.0000
Ses01F_impro06_F007-2,improvised,Female,8.0,sad,2,3.5000,3.0000,4.0000
Ses01F_impro06_F008-2,improvised,Female,9.909999999999997,sad,2,2.5000,3.5000,3.5000
Ses01F_impro06_F009-3,improvised,Female,7.579999999999998,neutral,3,2.5000,3.0000,3.5000
Ses01F_impro06_F010-2,improvised,Female,5.840000000000003,sad,2,2.0000,2.5000,3.5000
Ses01F_impro06_F011-2,improvised,Female,15.079999999999998,sad,2,2.0000,3.0000,4.0000
Ses01F_impro06_F012-2,improvised,Female,8.970000000000013,sad,2,2.0000,3.5000,4.5000
Ses01F_impro06_F013-2,improvised,Female,1.5324999999999989,sad,2,2.0000,2.0000,2.0000
Ses01F_impro06_F014-2,improvised,Female,1.9899999999999807,sad,2,3.0000,3.0000,2.5000
Ses01F_impro06_F015-2,improvised,Female,2.981500000000011,sad,2,2.0000,2.0000,2.5000
Ses01F_impro06_F016-3,improvised,Female,7.597499999999997,neutral,3,4.0000,3.0000,3.5000
Ses01F_impro06_F018-3,improvised,Female,7.200000000000017,neutral,3,4.0000,3.0000,3.5000
Ses01F_impro06_F019-3,improvised,Female,1.6599999999999966,neutral,3,2.5000,2.0000,2.5000
Ses01F_impro06_F020-2,improvised,Female,15.169999999999987,sad,2,2.5000,3.0000,4.0000
Ses01F_impro06_F021-2,improvised,Female,16.585000000000008,sad,2,2.0000,3.0000,4.0000
Ses01F_impro06_F022-2,improvised,Female,4.909999999999997,sad,2,4.0000,3.0000,3.5000
Ses01F_impro06_F023-2,improvised,Female,4.030000000000001,sad,2,2.5000,2.0000,2.5000
Ses01F_impro06_F024-2,improvised,Female,6.899999999999977,sad,2,1.5000,2.0000,3.0000
Ses01F_impro06_F025-2,improvised,Female,18.950000000000017,sad,2,3.0000,3.5000,4.5000
Ses01F_impro06_F026-2,improvised,Female,8.759999999999991,sad,2,3.0000,3.0000,3.5000
Ses01F_impro06_F027-3,improvised,Female,6.220000000000027,neutral,3,2.0000,2.0000,3.5000
Ses01F_impro06_F028-2,improvised,Female,29.129999999999995,sad,2,3.0000,3.5000,4.0000
Ses01F_impro06_M000-2,improvised,Male,3.2799999999999994,sad,2,2.5000,2.0000,3.0000
Ses01F_impro06_M001-3,improvised,Male,6.420000000000002,neutral,3,2.5000,3.0000,3.5000
Ses01F_impro06_M002-3,improvised,Male,1.4399999999999977,neutral,3,2.5000,2.0000,3.0000
Ses01F_impro06_M003-2,improvised,Male,6.050000000000004,sad,2,2.5000,2.0000,3.5000
Ses01F_impro06_M004-3,improvised,Male,1.3200000000000003,neutral,3,3.0000,3.0000,2.5000
Ses01F_impro06_M005-3,improvised,Male,1.6700000000000017,neutral,3,3.0000,2.0000,2.5000
Ses01F_impro06_M006-3,improvised,Male,1.4899999999999949,neutral,3,3.0000,2.0000,2.5000
Ses01F_impro06_M007-2,improvised,Male,1.7199999999999989,sad,2,3.0000,2.0000,2.5000
Ses01F_impro06_M008-3,improvised,Male,2.0900000000000034,neutral,3,3.0000,2.5000,2.5000
Ses01F_impro06_M009-3,improvised,Male,1.3499999999999943,neutral,3,3.0000,2.5000,2.5000
Ses01F_impro06_M010-3,improvised,Male,1.5900000000000034,neutral,3,3.0000,2.5000,3.0000
Ses01F_impro06_M011-3,improvised,Male,3.3100000000000023,neutral,3,3.0000,2.0000,3.0000
Ses01F_impro06_M012-3,improvised,Male,2.4899999999999807,neutral,3,2.5000,2.5000,2.5000
Ses01F_impro06_M013-3,improvised,Male,2.7600000000000193,neutral,3,3.0000,2.5000,2.5000
Ses01F_impro06_M014-3,improvised,Male,1.3000000000000114,neutral,3,3.0000,2.5000,2.0000
Ses01F_impro06_M015-3,improvised,Male,1.960000000000008,neutral,3,3.0000,3.0000,2.5000
Ses01F_impro06_M016-3,improvised,Male,3.1850000000000023,neutral,3,3.0000,2.5000,2.5000
Ses01F_impro07_F000-1,improvised,Female,6.64,happy,1,5.0000,5.0000,4.5000
Ses01F_impro07_F002-1,improvised,Female,12.04,happy,1,4.0000,4.0000,3.0000
Ses01F_impro07_F003-1,improvised,Female,2.3799999999999955,happy,1,4.5000,4.5000,4.5000
Ses01F_impro07_F004-1,improvised,Female,5.327500000000001,happy,1,3.0000,3.5000,3.0000
Ses01F_impro07_F005-1,improvised,Female,2.9299999999999997,happy,1,5.0000,4.5000,4.5000
Ses01F_impro07_F009-1,improvised,Female,2.2775000000000034,happy,1,4.0000,3.0000,2.5000
Ses01F_impro07_F010-1,improvised,Female,3.799999999999997,happy,1,5.0000,4.5000,4.0000
Ses01F_impro07_F012-1,improvised,Female,5.8799999999999955,happy,1,4.5000,4.0000,3.5000
Ses01F_impro07_F013-1,improvised,Female,7.199999999999989,happy,1,4.5000,4.0000,4.0000
Ses01F_impro07_F016-1,improvised,Female,9.050000000000011,happy,1,4.5000,3.5000,3.0000
Ses01F_impro07_M000-1,improvised,Male,1.81,happy,1,3.5000,3.0000,2.0000
Ses01F_impro07_M001-1,improvised,Male,4.427500000000001,happy,1,4.5000,4.5000,4.0000
Ses01F_impro07_M002-1,improvised,Male,5.17,happy,1,4.5000,4.0000,4.0000
Ses01F_impro07_M003-1,improvised,Male,7.379999999999999,happy,1,4.5000,3.5000,2.5000
Ses01F_impro07_M004-1,improvised,Male,7.895000000000003,happy,1,4.0000,4.0000,3.0000
Ses01F_impro07_M005-1,improvised,Male,5.827500000000001,happy,1,4.5000,4.5000,3.5000
Ses01F_impro07_M006-1,improvised,Male,5.702500000000001,happy,1,4.5000,4.5000,3.5000
Ses01F_impro07_M007-1,improvised,Male,9.120000000000005,happy,1,4.5000,4.5000,4.5000
Ses01F_impro07_M008-1,improvised,Male,2.612499999999997,happy,1,4.0000,3.0000,3.0000
Ses01F_impro07_M009-1,improvised,Male,6.3075000000000045,happy,1,3.5000,4.0000,3.5000
Ses01F_impro07_M012-3,improvised,Male,4.445000000000007,neutral,3,3.0000,2.5000,3.0000
Ses01F_impro07_M013-3,improvised,Male,3.0625,neutral,3,4.0000,2.5000,2.5000
Ses01F_impro07_M014-1,improvised,Male,5.079999999999998,happy,1,4.0000,4.5000,3.0000
Ses01F_impro07_M015-1,improvised,Male,10.552500000000009,happy,1,4.5000,4.0000,3.5000
Ses01F_impro07_M017-1,improvised,Male,3.570700000000002,happy,1,4.0000,3.5000,2.5000
Ses01F_impro07_M018-3,improvised,Male,4.782499999999999,neutral,3,4.0000,3.0000,3.0000
Ses01F_impro07_M019-1,improvised,Male,13.14500000000001,happy,1,4.5000,4.0000,3.0000
Ses01F_script01_1_F005-3,scripted,Female,4.9487999999999985,neutral,3,2.0000,1.6667,2.0000
Ses01F_script01_1_F015-3,scripted,Female,4.491399999999999,neutral,3,3.0000,2.3333,3.0000
Ses01F_script01_1_F034-3,scripted,Female,2.7402000000000157,neutral,3,2.3333,2.6667,2.3333
Ses01F_script01_1_F035-0,scripted,Female,2.835199999999986,angry,0,1.6667,3.6667,4.0000
Ses01F_script01_1_F037-0,scripted,Female,3.4700000000000273,angry,0,1.3333,4.3333,4.3333
Ses01F_script01_1_F038-0,scripted,Female,2.8000000000000114,angry,0,2.0000,3.6667,3.6667
Ses01F_script01_1_F041-0,scripted,Female,9.779999999999973,angry,0,1.6667,4.6667,4.3333
Ses01F_script01_1_F042-0,scripted,Female,3.069999999999993,angry,0,2.0000,4.0000,3.6667
Ses01F_script01_1_M000-3,scripted,Male,3.1327,neutral,3,3.0000,1.6667,2.3333
Ses01F_script01_1_M001-3,scripted,Male,3.3506,neutral,3,3.0000,2.0000,2.3333
Ses01F_script01_1_M002-3,scripted,Male,11.197100000000002,neutral,3,2.6667,3.0000,2.3333
Ses01F_script01_1_M003-3,scripted,Male,1.8700000000000045,neutral,3,3.0000,2.0000,2.0000
Ses01F_script01_1_M004-3,scripted,Male,2.6799999999999997,neutral,3,3.0000,2.0000,2.0000
Ses01F_script01_1_M007-3,scripted,Male,8.795399999999987,neutral,3,2.6667,3.0000,3.0000
Ses01F_script01_1_M010-3,scripted,Male,2.6200000000000045,neutral,3,3.0000,3.3333,3.6667
Ses01F_script01_1_M012-3,scripted,Male,3.8300000000000125,neutral,3,3.0000,1.3333,2.0000
Ses01F_script01_1_M014-3,scripted,Male,1.9839000000000055,neutral,3,3.0000,1.6667,2.3333
Ses01F_script01_1_M015-3,scripted,Male,3.3507000000000176,neutral,3,3.0000,1.6667,2.6667
Ses01F_script01_1_M016-3,scripted,Male,2.422600000000017,neutral,3,3.6667,2.6667,2.3333
Ses01F_script01_1_M017-3,scripted,Male,2.936700000000002,neutral,3,3.0000,2.6667,2.6667
Ses01F_script01_1_M019-0,scripted,Male,10.25,angry,0,2.0000,4.3333,4.0000
Ses01F_script01_1_M023-3,scripted,Male,2.2913999999999817,neutral,3,3.0000,2.0000,2.3333
Ses01F_script01_1_M024-3,scripted,Male,9.753500000000003,neutral,3,2.6667,1.6667,2.0000
Ses01F_script01_1_M025-3,scripted,Male,4.561900000000037,neutral,3,2.6667,2.0000,3.0000
Ses01F_script01_1_M034-3,scripted,Male,5.653399999999976,neutral,3,3.0000,2.6667,3.3333
Ses01F_script01_1_M039-3,scripted,Male,2.6100000000000136,neutral,3,3.0000,1.6667,2.0000
Ses01F_script01_1_M040-3,scripted,Male,3.3799999999999955,neutral,3,3.0000,1.6667,2.0000
Ses01F_script01_2_F003-0,scripted,Female,3.030000000000001,angry,0,2.0000,2.5000,4.0000
Ses01F_script01_2_F004-0,scripted,Female,1.9499999999999957,angry,0,2.5000,2.5000,3.5000
Ses01F_script01_2_F005-0,scripted,Female,3.75,angry,0,1.5000,3.5000,4.5000
Ses01F_script01_2_F006-0,scripted,Female,4.390000000000001,angry,0,1.5000,4.0000,4.5000
Ses01F_script01_2_F007-0,scripted,Female,8.890000000000008,angry,0,1.5000,4.5000,4.5000
Ses01F_script01_2_F008-0,scripted,Female,10.780000000000001,angry,0,1.5000,4.5000,4.5000
