File,Gender,Original_Duration,Duration,Emotion,Emotion_Id,min_zcr,spikes_zcr,var_mel_spect,spikes_mel_spect,thpercentile25_chroma_stft,spikes_chroma_stft,mean_spec_bw,max_spec_bw,thpercentile25_rms,var_mfcc1,var_mfcc3,max_mfcc5,var_mfcc5,median_mfcc5,spikes_mfcc6,thpercentile75_mfcc7,max_mfcc7,var_mfcc8,sum_mfcc10,max_mfcc10,thpercentile75_mfcc11,max_mfcc11,sum_mfcc12,kurtosis_mfcc12,mean_mfcc13,mean_mfcc15,spikes_mfcc16,kurtosis_mfcc17,mean_mfcc17,kurtosis_mfcc18,spikes_mfcc19,mean_mfcc19,mean_mfcc20
s10_sa_1,m,3.48,3.48,sadness,3,0.02587890625,18,8.826632499694824,933,0.00248549169220496,424,1572.3142232025725,2466.247579939707,0.0027306310553103686,5017.27197265625,1060.5845947265625,13.330626487731934,234.556640625,-13.81376838684082,58,-61.48126800537109,14.752463340759277,374.92242431640625,-497.0643005371094,14.360078811645508,-33.42207092285156,9.004680633544922,-17.884857177734375,0.0665231561302031,-18.02254867553711,-12.174480438232422,51,0.4010753255056856,-14.174827575683594,-0.5166581071844591,49,-8.311768531799316,-10.812755584716797
s10_sa_2,m,3.48,3.48,sadness,3,0.03662109375,32,24.803068161010742,985,0.005042930538766087,467,1581.9113228145823,2452.95861826868,0.0008063931064680219,8254.3896484375,861.4949951171875,6.799898624420166,631.5952758789062,-15.726667404174805,59,-68.08666687011718,-0.6415919065475464,437.69598388671875,-969.4727783203125,19.28253746032715,-29.052894287109375,31.076629638671875,242.7537078857422,1.3495986160285485,-19.581640243530273,-7.7037858963012695,44,-0.49806844803813055,-14.579569816589355,1.5597051559331039,60,-9.332551956176758,-7.353877544403076
s10_sa_3,m,4.32,4.32,sadness,3,0.03515625,28,1.7646594047546387,1007,0.002932760617113672,465,1565.7706170973436,2618.5832787968275,0.001374921101378277,3522.156005859375,1243.8525390625,13.493221282958984,210.7642822265625,-13.864707946777344,45,-53.602889976501466,13.553062438964844,168.5499267578125,-485.84893798828125,14.190474510192871,-34.51283451080322,18.990530014038086,26.73619842529297,0.306893273226013,-18.339094161987305,-10.673639297485352,53,-0.22659702071532806,-13.117074966430664,0.7305255055653732,52,-8.609219551086426,-10.406572341918945
s10_sa_4,m,1.92,1.92,sadness,3,0.0390625,9,40.207454681396484,363,0.0038183669908903543,179,1478.646176258351,2431.380859746556,0.0034639373153913765,4445.02685546875,1082.6160888671875,12.878288269042969,650.7906494140625,-17.478994369506836,19,-50.80256576538086,-4.102089881896973,772.3759155273438,61.830326080322266,16.8040828704834,-35.53009469985962,23.22848892211914,-3.9667305946350098,-1.060248865229035,-20.36622428894043,-8.703259468078613,22,-0.1555834155875977,-14.908978462219238,-0.6530776629795478,26,-7.632638454437256,-6.388728141784668
s10_sa_5,m,2.84,2.84,sadness,3,0.05419921875,15,5.237975120544434,998,0.005779788328800351,316,1402.49244109863,2267.8679893339217,0.0016274872922804207,6272.15966796875,2494.574951171875,-2.107428550720215,383.8514099121094,-26.774049758911133,27,-54.208985862731936,12.061173439025879,149.15234375,-615.5662231445312,8.748976707458496,-27.778189792633057,11.054210662841797,135.43858337402344,-0.48543874465560766,-17.29661750793457,-11.26015853881836,27,0.7519291804704813,-14.198823928833008,0.06026563547760233,39,-10.173897743225098,-5.976650238037109
s11_an_1,m,2.4,2.4,anger,0,0.0380859375,9,27.4064998626709,1089,0.011724763545207679,331,1351.4308496096419,2478.853852734702,0.0020824440143769607,9580.759765625,1136.0657958984375,15.357521057128906,845.029052734375,-5.523823261260986,41,-57.57775831222534,23.079139709472656,146.8724365234375,164.69400024414062,31.50845718383789,-40.85429358482361,12.402708053588867,-111.93174743652344,-0.8293772130035015,-10.63530158996582,-6.744757175445557,42,-1.15616079854827,-7.876755714416504,0.2290341208307205,38,-11.5505952835083,-3.8281102180480957
s11_an_2,m,2.32,2.32,anger,0,0.03076171875,13,163.08853149414062,762,0.006777408345369622,280,1361.2533902795376,2290.678073041199,0.009678138326853514,3718.148681640625,922.0045776367188,21.609893798828125,564.5288696289062,-16.126873016357422,30,-68.93654418945313,25.42945098876953,155.08900451660156,46.800819396972656,38.233612060546875,-35.15040679931641,7.596054553985596,114.91765594482422,-0.7479511952600051,-21.790788650512695,-1.1698615550994873,36,0.08568088635844573,-9.134393692016602,-0.07279975226947899,34,-15.969490051269531,-8.149292945861816
s11_an_3,m,1.48,1.48,anger,0,0.04931640625,20,96.673583984375,506,0.004253658199450001,171,1212.9119648996452,1934.7470866583556,0.005661004406865686,6131.9638671875,762.80615234375,17.790672302246094,553.0368041992188,-31.18936538696289,17,-69.60610273361206,41.83415222167969,273.5669250488281,130.71434020996094,54.87001419067383,-47.1577882194519,20.26923179626465,236.69496154785156,-0.44910859830092287,-16.11569595336914,-0.6121846437454224,17,-0.3032268038573087,-7.283423900604248,0.13897922444168032,26,-13.74927806854248,-13.16716480255127
s11_an_4,m,2.68,2.68,anger,0,0.0400390625,22,62.114479064941406,855,0.0033299015311058612,283,1295.865045176248,2521.8033932653825,0.0037403362715849654,7126.4560546875,1152.1798095703125,12.634397506713867,289.71624755859375,-16.143417358398438,25,-51.7533763217926,14.30846881866455,92.5943832397461,-119.71939086914062,26.77750587463379,-40.26482490539551,15.458099365234375,-149.08961486816406,-0.45977141422991696,-19.73540496826172,-2.3496618270874023,37,-0.7896037382329353,-8.338081359863281,-0.7258398515480313,44,-12.323698043823242,-7.366150856018066
s11_an_5,m,3.2,3.2,anger,0,0.04150390625,46,35.3930549621582,1057,0.00537399276625365,363,1344.6390867744437,2028.7688596224114,0.003642102658632211,3897.06494140625,831.841552734375,21.11682891845703,245.0203857421875,-7.190491199493408,49,-54.7085888671875,-3.5684447288513184,182.8795623779297,-137.8624267578125,22.18229866027832,-43.281804637908934,7.450847625732422,476.1630554199219,-0.06798590677587013,-21.3915958404541,2.211780071258545,55,-0.21206139260583123,-8.662456512451172,0.30390554136354186,45,-12.859201431274414,-4.46754264831543
s11_ha_1,m,2.28,2.28,happiness,1,0.0458984375,16,166.05282592773438,622,0.0013376507343491539,268,1344.2809798837184,2571.313697592749,0.003465821535792202,5152.3232421875,1260.33251953125,44.19859313964844,774.3045654296875,6.622757911682129,32,-67.65462684631348,-5.653093338012695,140.8800048828125,255.7977752685547,32.35563659667969,-57.79914016723633,6.640259742736816,-411.4429931640625,-0.36616134420135804,-12.465365409851074,-1.5549290180206299,28,0.13761039730070612,-1.7539982795715332,-0.6733754967992689,29,-12.114226341247559,-3.700796127319336
s11_ha_2,m,1.92,1.92,happiness,1,0.037109375,11,100.11771392822266,548,0.005603654080769047,198,1371.7049577682367,2688.293126012138,0.0073829169385135176,6222.06787109375,1012.2111206054688,41.985572814941406,1063.0738525390625,-12.359051704406738,25,-67.93015296936035,32.98274230957031,68.35020446777344,-58.51742935180664,62.90280532836914,-46.75786441802978,-3.1197919845581055,-212.37472534179688,-0.7073426666929983,-17.68732452392578,-7.188635349273682,26,-1.007006926463498,3.178441047668457,-0.710289191074676,25,-17.251131057739258,-0.2474183887243271
s11_ha_3,m,2.52,2.52,happiness,1,0.0498046875,28,132.28277587890625,684,0.0020377039929735472,248,1474.9726066050962,2717.391739568667,0.004011971578001976,5231.259765625,1337.2681884765625,39.78038787841797,2607.899169921875,-13.013627052307129,28,-67.43523513793946,7.340710639953613,135.58218383789062,39.5675048828125,24.851726531982422,-43.14662139892578,10.785247802734375,97.26509857177734,-0.634768222489352,-19.005416870117188,-9.572066307067871,27,-0.8162699530937454,3.6172351837158203,-0.8666388217015646,33,-12.853863716125488,-6.164370536804199
s11_ha_4,m,2.0,2.0,happiness,1,0.03076171875,13,152.5235137939453,431,0.008071990353055298,152,1468.8368241601263,2416.6944102688876,0.0039378358516842125,9882.7060546875,2113.608642578125,0.5844833850860596,334.5448913574219,-35.121124267578125,15,-76.49319290161132,15.719963073730469,110.79833221435547,-75.03641510009766,56.07913589477539,-47.667499465942385,4.218997955322266,-220.1746063232422,-0.3009593965236421,-24.901084899902344,-3.352982521057129,16,0.213968196517885,1.3312069177627563,-0.01556805926639182,18,-12.50947093963623,-4.5096001625061035
s11_ha_5,m,1.72,1.72,happiness,1,0.0576171875,12,90.82061004638672,519,0.002470820771995932,211,1646.749397905565,2694.1316061734683,0.003046180185629055,5357.052734375,1466.6949462890625,31.120332717895508,589.5668334960938,-12.760173797607422,21,-82.07799270629883,28.27801513671875,226.28709411621094,209.0667266845703,66.78535461425781,-42.36464256286621,4.652128219604492,-543.3271484375,-1.1025528033163214,-16.881071090698242,-9.25429630279541,19,0.3212261125568059,1.1172350645065308,-1.1099680820675486,13,-13.479324340820312,1.424919843673706
s11_sa_1,m,2.32,2.32,sadness,3,0.0419921875,15,13.193090438842773,456,0.002380962597380858,256,1446.6804497276453,2778.9728709188935,0.0018086960341315715,4799.1474609375,1234.111083984375,36.92121505737305,616.42431640625,-2.933894395828247,30,-62.68001958847046,5.078095436096191,217.6929168701172,-127.45687866210938,34.777774810791016,-43.989943504333496,6.439891815185547,98.08026123046875,-0.3680254562693257,-14.159087181091309,0.42131325602531433,34,-0.0770498967825266,-1.2159098386764526,0.5021238461897921,33,-10.693918228149414,-2.5394458770751953
s11_sa_2,m,2.72,2.72,sadness,3,0.03759765625,17,4.098845958709717,535,0.0016599390321061947,245,1439.5951826674434,2552.150016670894,0.001604024490516167,5337.59765625,1277.9158935546875,30.446788787841797,815.1810913085938,-2.645096778869629,35,-56.88877984046936,4.4208550453186035,248.4633331298828,-110.94410705566406,19.467819213867188,-34.9453661441803,4.45718240737915,-199.57395935058594,-0.22757549917814313,-21.394237518310547,3.9555232524871826,26,-0.7553111959482979,-3.899383068084717,0.7465294998219445,27,-10.852677345275879,-6.4570112228393555
s11_sa_3,m,3.24,3.24,sadness,3,0.04541015625,19,19.280187606811523,592,0.0018362570632598364,295,1584.254992192179,2568.5584686885804,0.0027985638321842998,2216.470947265625,1410.27685546875,31.051502227783203,599.3860473632812,-11.499004364013672,41,-67.79128742218018,-11.011953353881836,184.63433837890625,-398.1728820800781,23.433984756469727,-43.15352643966675,3.78037428855896,-401.7174987792969,0.21278750998212503,-21.847158432006836,-3.7624800205230713,35,-0.43869189401567965,-3.2864608764648438,-0.8308235808092239,39,-13.713919639587402,-3.3675811290740967
s11_sa_4,m,3.16,3.16,sadness,3,0.0390625,19,36.204837799072266,492,0.0017322577346931213,271,1538.8007045652316,2579.3199810648866,0.0016714533878257499,8454.6962890625,719.1536865234375,27.077838897705078,353.2832336425781,-13.888893127441406,27,-51.78801694869995,6.69051456451416,152.85525512695312,13.766313552856445,19.433475494384766,-29.421847562789917,8.684133529663086,-12.874693870544434,-0.7619284703591189,-15.368062019348145,-5.201662063598633,31,0.8889142418822891,-0.05842841416597366,-0.44063662232040013,28,-12.441990852355957,-7.115952491760254
s11_sa_5,m,3.08,3.08,sadness,3,0.044921875,17,1.4377104043960571,493,0.0018535904993768782,293,1602.4996141604388,2234.9667683141834,0.0009113893363974057,9586.6943359375,595.6134033203125,15.87925910949707,337.2682189941406,-3.4032020568847656,35,-44.53783599853516,2.0406904220581055,229.7632293701172,112.15190124511719,29.258834838867188,-39.121343994140624,12.23786735534668,49.67873764038086,-0.44043446690672816,-11.00134563446045,-10.398124694824219,32,-0.11202879448670533,0.07929857820272446,-0.3837552651252705,33,-9.455228805541992,-2.220789670944214
s12_an_1,m,3.48,3.48,anger,0,0.0634765625,33,32.1947021484375,1185,0.0038771137269213796,356,1409.768835540063,2331.433947093964,0.0035424409538973123,8513.6767578125,1750.3717041015625,20.076152801513672,593.6849365234375,-44.2224235534668,32,-64.70452068328858,6.729534149169922,134.2777862548828,-593.9734497070312,32.95079040527344,-34.84671127319336,-1.9771114587783813,-1596.888427734375,0.4862545198607253,-10.33465576171875,-15.345071792602539,40,1.6467208305297234,-1.9703518152236938,-0.7848041381879773,29,-3.4309449195861816,10.95819091796875
s12_an_2,m,4.24,4.24,anger,0,0.07080078125,38,39.83110427856445,1084,0.001492489893862512,421,1562.1780004963357,2524.5594937323367,0.0006455403356812894,13069.193359375,1318.2237548828125,22.88214874267578,515.1582641601562,-31.636375427246094,47,-64.40461563110351,12.361844062805176,158.56455993652344,-277.0534973144531,16.500972747802734,-33.01426696777344,20.167133331298828,-1591.4483642578125,0.027658051613227208,-13.007908821105957,-21.552682876586914,51,0.2373125231613722,-14.127667427062988,-0.43086040768842837,50,-1.904870867729187,14.705276489257812
s12_an_3,m,2.96,2.96,anger,0,0.0458984375,42,58.68687438964844,1015,0.0023725778074003756,337,1390.5366714295917,2195.2186533967792,0.004697723593562841,4652.599609375,1051.8282470703125,-0.2378997504711151,704.4696044921875,-34.094730377197266,29,-56.62010498046875,28.12469482421875,408.855224609375,-986.2322387695312,16.523765563964844,-43.78190460205078,5.6012163162231445,-744.2789916992188,-0.43141124274178466,-19.997461318969727,-21.72846221923828,46,-0.2935947493722604,-13.394094467163086,-0.6945714294851304,42,-17.303503036499023,-7.026583671569824
s12_an_4,m,3.6,3.6,anger,0,0.01806640625,58,96.90709686279297,848,0.0017995487141888589,426,1467.1512587062807,2617.0367462521067,0.0008247484767343849,14512.6484375,1560.059326171875,23.275741577148438,335.4803466796875,-11.853811264038086,58,-50.42368018150329,22.929866790771484,160.7442626953125,-603.6265258789062,15.051225662231445,-30.773014369010927,22.01824378967285,-1136.94189453125,-0.4076337393697069,-15.23343276977539,-15.57890796661377,49,-0.12891918063513952,-8.16840648651123,1.6421967944971128,62,-9.14348030090332,-5.630504131317139
s12_an_5,m,4.52,4.52,anger,0,0.04150390625,43,51.81400680541992,1177,0.004287409329554066,434,1339.723557368985,2126.859030322108,0.003235594783327542,6934.892578125,732.6898193359375,15.083820343017578,312.9734802246094,-25.049177169799805,52,-52.4914870929718,17.466508865356445,205.76844787597656,-529.0357055664062,21.60108184814453,-32.745694675445556,14.233112335205078,-1239.229248046875,-0.020794940424742947,-22.83153533935547,-14.874841690063477,47,-0.8648359073908041,-13.57800579071045,-1.0464034350297784,41,-20.5360164642334,-7.888690948486328
s12_ha_1,m,2.76,2.76,happiness,1,0.0888671875,28,61.545013427734375,901,0.004484554323134944,371,1412.553740499511,2807.6617423837474,0.004839722402393818,4083.907470703125,2165.964111328125,4.384533405303955,510.9548034667969,-26.953231811523438,37,-60.216632518768314,4.394113540649414,343.37005615234375,135.15113830566406,18.431055068969727,-44.45897106170654,13.276758193969727,-419.04351806640625,-0.4952280327663763,-11.256731033325195,-22.901296615600586,36,-0.5438647777324217,-11.27260684967041,0.18610963272585357,37,-8.773818016052246,-2.429033041000366
s12_ha_2,m,3.32,3.32,happiness,1,0.02587890625,29,58.782100677490234,1052,0.0012912483795662411,421,1508.3668143666332,2461.95136281074,0.003095284442533739,9243.919921875,1460.911865234375,20.95629119873047,549.7982788085938,-27.322673797607422,44,-37.45198320388794,33.368499755859375,275.70880126953125,-676.388671875,17.913097381591797,-39.477281379699704,3.5432093143463135,-1075.3289794921875,-0.5838276250924865,-9.963641166687012,-22.05501365661621,52,-0.38848622727994053,-9.957262992858887,0.22404638720981485,44,-1.956900954246521,4.362875461578369
s12_ha_3,m,2.52,2.52,happiness,1,0.033203125,18,220.3698272705078,576,0.0003869526266498724,238,1615.9740390075985,2744.710593623201,0.004242825165856629,6568.021484375,1558.5660400390625,29.821866989135742,735.22119140625,-24.968414306640625,29,-64.46705078125,9.495323181152344,167.6952362060547,-414.3372497558594,27.755603790283203,-57.07013292312622,43.094696044921875,-1090.77783203125,0.11528538070879835,-3.5907275676727295,-1.8134174346923828,29,0.37743181287505223,6.491095542907715,-1.1126848101738782,37,0.49699461460113525,2.525001049041748
s12_ha_4,m,2.92,2.92,happiness,1,0.05615234375,25,37.55405044555664,645,0.002780294789117761,246,1628.6260653046863,2622.6367790223135,0.00786367429071106,4507.576171875,2221.078369140625,13.867093086242676,355.69683837890625,-28.32305145263672,30,-53.51272864341736,2.3027899265289307,394.6329650878906,167.9503173828125,28.70394515991211,-48.94151210784912,9.794465065002441,-320.72393798828125,-0.6581041046124385,-12.641423225402832,-17.657102584838867,28,0.36187681286912454,-14.965221405029297,-0.31292031402087117,25,-3.076741933822632,-10.116537094116211
s12_ha_5,m,2.08,2.08,happiness,1,0.0419921875,19,53.85385513305664,611,0.0041495466930791735,212,1562.4608072354108,2680.329644210283,0.0030848022003192453,6235.1455078125,1835.3704833984375,33.26705551147461,465.58978271484375,-8.421002388000488,33,-50.22151641845703,6.388955116271973,705.0052490234375,556.4345703125,37.80937957763672,-40.4195205116272,10.90479850769043,-546.1122436523438,-0.6182106530504816,-0.4350307881832123,-21.208656311035156,27,0.14294505813681146,-6.1641669273376465,-0.018137275655979224,26,-2.556943893432617,-8.441933631896973
s12_sa_1,m,3.2,3.2,sadness,3,0.0361328125,30,0.07460777461528778,636,0.01151343024102971,418,1680.6881394734198,2649.0276745704837,0.0007631706136453431,3940.608642578125,524.4141235351562,36.23234558105469,263.91943359375,-5.6420793533325195,41,-61.143170585632326,5.139847278594971,178.9862518310547,841.4498901367188,31.265565872192383,-31.68186222553253,1.254920244216919,-215.3070068359375,-1.309217822096438,-12.323606491088867,-12.820255279541016,44,0.6472012068734974,-7.007506370544434,0.1910621382899862,32,-3.200683832168579,-7.355766773223877
s12_sa_2,m,4.56,4.56,sadness,3,0.02880859375,32,4.263442516326904,760,0.00036623717613110785,407,1469.2768107747727,2545.1204600482574,0.0019966138774179854,3164.538818359375,1061.6943359375,26.085399627685547,569.8217163085938,-24.482746124267578,46,-49.125163078308105,23.421348571777344,157.2247772216797,-736.4742431640625,22.60247802734375,-38.54013366699219,9.125877380371094,-722.21923828125,-0.4053928683013024,-17.39899253845215,-9.434586524963379,56,-0.4496076721664104,-8.922541618347168,-0.3097801674569314,49,-5.268418788909912,-9.145575523376465
s12_sa_3,m,6.76,6.76,sadness,3,0.02587890625,78,7.150374889373779,695,0.00016473201998451261,894,1777.8228505633285,2510.3200080765637,0.0004076401586644351,11307.341796875,572.478515625,27.517349243164062,387.2896423339844,-4.249572277069092,104,-58.82175817489624,13.210678100585938,231.52291870117188,-258.8216247558594,25.75282859802246,-31.730629539489748,9.863693237304688,-865.5823974609375,-1.0154650626424548,-8.01716136932373,-8.18571662902832,88,0.005677998033430054,-12.136549949645996,3.0320705019924805,96,-8.57729721069336,-9.514364242553711
s12_sa_4,m,3.52,3.52,sadness,3,0.025390625,20,0.16247782111167908,527,0.0009302644153649453,488,1638.160496577947,2414.7068134159044,0.000586447969544679,5702.94580078125,492.0184631347656,14.39529037475586,340.6444396972656,-2.638315439224243,49,-45.38496612548828,12.353561401367188,430.4842224121094,937.938720703125,43.8116455078125,-28.297299938201903,11.253626823425293,488.91815185546875,0.37846607684510447,-8.956367492675781,-6.571645259857178,55,2.488497783065852,-9.806831359863281,0.07817334000166598,47,-4.760700702667236,-10.086921691894531
s12_sa_5,m,3.12,3.12,sadness,3,0.02197265625,17,0.20165354013442993,515,0.0055645443149842325,270,1508.02720214534,2142.6307249505717,0.0007597218571754638,4578.76953125,1006.3033447265625,23.727270126342773,356.6154479980469,-24.694168090820312,24,-52.40575989723206,19.426280975341797,434.0888671875,730.150634765625,29.40256118774414,-33.973675680160525,12.540275573730469,-442.0809326171875,-1.1741086843505903,-10.618917465209961,-10.91994857788086,29,-0.545794457239138,-9.944549560546875,-0.31261448776566336,31,-8.05050277709961,-10.282917976379395
s13_an_1,m,4.32,4.32,anger,0,0.0322265625,47,77.96900177001953,1197,0.0017832852224819362,632,1553.5831651929939,2653.0918120221504,0.0004398443514946848,13196.1669921875,1390.5487060546875,34.799591064453125,248.81895446777344,-0.9989662766456604,69,-93.10198822021485,1.3294280767440796,192.38259887695312,-352.3205871582031,24.503969192504883,-30.54496078491211,14.271973609924316,-550.5631103515625,0.7259626788721483,-20.141036987304688,-10.968987464904785,62,-0.23099489081361257,0.9926864504814148,0.8847138387066429,69,-3.4692511558532715,-5.247427463531494
s13_an_2,m,3.56,3.56,anger,0,0.0390625,28,38.984130859375,1077,0.00612605368369259,421,1350.6027102899923,2418.363857019891,0.0008738656193600036,10383.78515625,1396.361328125,25.567031860351562,274.34783935546875,-10.328023910522461,53,-82.25102993011474,2.891310691833496,177.20175170898438,-657.8901977539062,19.483657836914062,-30.17110357284546,4.943432331085205,-50.76742935180664,-0.49302377011225396,-20.52726936340332,-11.124187469482422,51,-0.41266525831989354,-1.5168536901474,-0.13580300404402834,45,-5.425269603729248,-10.745641708374023
s13_an_3,m,2.72,2.72,anger,0,0.0390625,24,9.452764511108398,761,0.004643219226272777,274,1271.14780203878,2278.4677696429817,0.002593536948552355,6045.845703125,648.88916015625,27.571380615234375,391.995361328125,-9.388538360595703,32,-82.90880374908447,-0.0016869306564331055,107.06282043457031,-346.56768798828125,20.02083969116211,-31.536379489898682,8.395564079284668,108.63389587402344,-0.8246467808191107,-18.73232650756836,-12.805188179016113,29,0.41131106796603767,-2.7735402584075928,-0.8456381075912551,38,-7.826212406158447,-5.3972249031066895
s13_an_4,m,3.44,3.44,anger,0,0.037109375,40,27.93684196472168,847,0.002063634296064265,341,1399.4837142395436,2192.2447261439593,0.0025088069634512065,4151.4345703125,827.27099609375,16.747983932495117,164.73529052734375,-13.87356948852539,40,-63.09996675491333,-14.230106353759766,135.9049835205078,-671.888671875,18.492677688598633,-37.104680938720705,1.0682284832000732,-229.8991241455078,0.2982495743670408,-23.0895938873291,-13.902517318725586,48,-0.7463309299335639,2.1935689449310303,-0.14831426122006786,37,-7.074821949005127,-8.337599754333496
