File,Subject,Gender,Emotion,Emotion_Id,spikes_mel_spect,mean_mel_spect,min_mel_spect,max_mel_spect,var_mel_spect,std_mel_spect,sum_mel_spect,spikes_chroma_stft,mean_chroma_stft,var_chroma_stft,std_chroma_stft,sum_chroma_stft,spikes_rms,mean_rms,max_rms,var_rms,std_rms,sum_rms,spikes_spec_cent,mean_spec_cent,min_spec_cent,max_spec_cent,var_spec_cent,std_spec_cent,sum_spec_cent,spikes_spec_bw,mean_spec_bw,min_spec_bw,max_spec_bw,var_spec_bw,std_spec_bw,sum_spec_bw,spikes_spec_rolloff,mean_spec_rolloff,min_spec_rolloff,max_spec_rolloff,var_spec_rolloff,std_spec_rolloff,sum_spec_rolloff,spikes_spec_cont,mean_spec_cont,min_spec_cont,max_spec_cont,var_spec_cont,std_spec_cont,sum_spec_cont,spikes_zcr,mean_zcr,min_zcr,max_zcr,var_zcr,std_zcr,sum_zcr,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20
eNTERFACE05_Dataset\subject_10_m\fear\sentence,1\s10_fe_1,10,m,fear,2,1100,0.6843354105949402,6.819625419929309e-10,588.696044921875,72.46941375732422,8.512896537780762,12167.4833984375,790,0.486643522977829,0.08814632147550583,0.29689446091651917,817.5610961914062,68,0.04279525578022003,0.155670627951622,0.0013510213466361165,0.0367562435567379,5.991335868835449,53,2508.652782050729,960.290580851549,5272.751750670444,824682.2343506265,908.1201651492089,351211.38948710205,76,2138.3012215917647,1572.0711068185215,2723.233127717332,58271.49063914869,241.3948852795947,299362.17102284706,73,4928.565673828125,1765.72265625,7353.5888671875,1313914.4832774997,1146.2610886170305,689999.1943359375,303,20.87026594908691,5.983779438764773,46.14952452276876,77.60697225379626,8.809481951499546,20452.860630105173,53,0.15607212611607144,0.02294921875,0.484375,0.009720952887924352,0.09859489280852407,21.85009765625,-245.997314453125,82.90387725830078,-24.283353805541992,28.635488510131836,-24.312761306762695,23.083677291870117,-10.275385856628418,3.192751407623291,-8.982634544372559,1.0318138599395752,-11.325515747070312,-6.725078582763672,-3.4113025665283203,-8.869189262390137,-12.89511775970459,-1.7998038530349731,-7.668708324432373,-4.665118217468262,-9.598053932189941,1.679896354675293
eNTERFACE05_Dataset\subject_10_m\fear\sentence,2\s10_fe_2,10,m,fear,2,1160,0.8344622850418091,5.85219206428178e-10,419.8966369628906,51.47103500366211,7.1743316650390625,13247.0888671875,673,0.44837939739227295,0.08935268223285675,0.2989192008972168,672.569091796875,62,0.0510987788438797,0.13480854034423828,0.00154689303599298,0.039330560714006424,6.387347221374512,40,2870.8863206147307,1313.993311695091,5513.255766934945,1280460.594190299,1131.5743873870153,358860.79007684137,72,2221.6464989135507,1701.7061141025852,2751.694665653521,62125.63630876766,249.2501480616765,277705.81236419384,73,5335.238671875,2863.916015625,7310.5224609375,1458970.1784578708,1207.878379000912,666904.833984375,251,20.445924923573326,7.468338413455759,44.74939527785793,75.57031651043839,8.69311891730686,17890.18430812666,43,0.1989609375,0.03857421875,0.49462890625,0.016782656005859375,0.12954789078120638,24.8701171875,-229.79531860351562,71.71627044677734,-13.364614486694336,31.54479217529297,-28.101961135864258,14.131097793579102,-29.04155731201172,-0.6025570631027222,-12.559416770935059,-2.91166090965271,-10.927412986755371,-2.751466751098633,-1.1708542108535767,-1.3545770645141602,-13.672027587890625,-2.070992946624756,-6.662309169769287,-2.460799217224121,-13.001837730407715,5.211255073547363
eNTERFACE05_Dataset\subject_10_m\fear\sentence,3\s10_fe_3,10,m,fear,2,537,3.214365005493164,1.0930385485607985e-09,1204.3607177734375,1032.8519287109375,32.13801193237305,38781.3125,441,0.33947840332984924,0.1004643365740776,0.3169611096382141,387.00537109375,49,0.09572368115186691,0.24751266837120056,0.005651986692100763,0.07517969608306885,9.09375,44,2637.7161160888845,1349.4948392618671,4346.464200788447,527907.3666795765,726.5723409816648,250583.03102844403,46,2199.7484216576186,1603.2977096401703,2650.062769820841,49749.129011746554,223.04512774715917,208976.10005747378,54,5211.03515625,3154.6142578125,6761.42578125,813685.5865905159,902.0452242490484,495048.33984375,246,22.004410833461865,6.938788045950989,47.11244798921469,82.82290220848891,9.100708884943463,14632.93320425214,43,0.1379111842105263,0.03466796875,0.28173828125,0.005113545045297893,0.07150905568735957,13.1015625,-212.6982879638672,63.71369934082031,-26.28379249572754,41.39718246459961,-25.892000198364258,11.51537036895752,-22.58048439025879,0.2746914029121399,-26.472797393798828,-4.800754070281982,-10.007060050964355,-8.203088760375977,-4.241637229919434,-10.697009086608887,-13.799093246459961,-4.291121482849121,-8.52319049835205,-6.217878341674805,-15.838940620422363,-0.9420729875564575
eNTERFACE05_Dataset\subject_10_m\fear\sentence,4\s10_fe_4,10,m,fear,2,1231,6.368174076080322,1.8938713097771398e-10,1554.91845703125,1593.9508056640625,39.924312591552734,97859.734375,508,0.3027831017971039,0.09210915118455887,0.3034949004650116,439.64105224609375,71,0.14470916986465454,0.3145383596420288,0.007973544299602509,0.08929470181465149,17.509809494018555,63,1700.9776028332517,961.022589111531,2846.7049025987717,169556.64832357137,411.77256868758434,205818.28994282347,52,1699.2325476065125,1215.8232809731653,2342.2650792545837,72758.78440794213,269.7383628777007,205607.13826038802,65,3418.7074267174585,1539.6240234375,5630.9326171875,839358.47063231,916.1650891800615,413663.5986328125,328,23.964671427244557,6.6235968488924435,50.4205616417466,82.36830445584009,9.075698565721543,20298.07669887614,62,0.08431527634297521,0.0341796875,0.16015625,0.0006299263775881974,0.025098334159624966,10.2021484375,-179.26490783691406,112.11296844482422,-47.167022705078125,14.915145874023438,-41.28703308105469,-1.6248438358306885,-11.517354011535645,-16.836626052856445,-30.606578826904297,3.3103909492492676,-15.083556175231934,-3.2137508392333984,-3.3246991634368896,-14.091322898864746,-5.994392395019531,-9.506387710571289,-3.706970691680908,-8.877897262573242,-13.908792495727539,0.10434062778949738
eNTERFACE05_Dataset\subject_10_m\fear\sentence,5\s10_fe_5,10,m,fear,2,1349,3.8950066566467285,1.1223786344771725e-09,1592.8369140625,972.4287719726562,31.18379020690918,71726.546875,674,0.33630096912384033,0.10265341401100159,0.32039570808410645,585.1636962890625,79,0.11210628598928452,0.2726571559906006,0.0050234380178153515,0.07087621837854385,16.25541114807129,64,2000.4917084551773,1210.9048511778246,3298.9740485923917,246406.5957615315,496.39358956530805,290071.2977260007,79,1917.6188618706267,1245.7183938242724,2586.664044968258,71882.37221198453,268.10888126278945,278054.73497124086,68,4034.5054889547414,2121.0205078125,6244.62890625,852805.2841332806,923.474571460027,585003.2958984375,357,22.348626836071443,8.31855722868951,47.05676159405886,70.84755290919324,8.417098841595793,22683.856238612516,54,0.10319571659482758,0.04052734375,0.22265625,0.0016064722104248337,0.04008082097992547,14.96337890625,-174.51890563964844,99.5744857788086,-35.875274658203125,30.03246307373047,-33.30830764770508,-0.785889208316803,-21.19872283935547,-7.186952114105225,-25.266109466552734,-4.476413726806641,-7.278005599975586,-1.9323859214782715,-6.990044593811035,-13.808329582214355,-9.197656631469727,-6.927691459655762,-5.543266773223877,-2.7850677967071533,-11.184006690979004,-1.8335400819778442
eNTERFACE05_Dataset\subject_10_m\happiness\sentence,1\s10_ha_1,10,m,happiness,3,969,4.587347030639648,6.455171397412585e-10,2872.623779296875,2602.322998046875,51.012969970703125,53598.5625,490,0.4363147020339966,0.09148099273443222,0.302458256483078,481.6914367675781,46,0.11516851931810379,0.35765740275382996,0.00784278754144907,0.08855951577425003,10.595503807067871,36,2126.036359384099,1072.5754209293407,4134.448183977673,604955.6171319836,777.7889283938051,195595.3450633371,45,1801.2407339174301,1238.6748327659247,2509.466002254942,153895.46567125618,392.2951257296682,165714.14752040358,43,3871.061374830163,1798.0224609375,6449.1943359375,2116251.412074316,1454.7341379352847,356137.646484375,213,20.988325532391553,9.806110055363314,46.360232505104904,69.90699795585039,8.361040482849631,13516.481642860159,38,0.13630477241847827,0.04443359375,0.3359375,0.004709056847938293,0.06862256806574855,12.5400390625,-166.74510192871094,102.83504486083984,-45.23479080200195,21.84895133972168,-24.116914749145508,0.10616455972194672,-27.079404830932617,-11.420831680297852,-16.749509811401367,-5.060076713562012,-8.584417343139648,-8.392807960510254,-3.2105484008789062,-4.827152729034424,-7.458784580230713,-6.993438720703125,-5.471003532409668,-3.70129656791687,-12.970568656921387,0.22345976531505585
eNTERFACE05_Dataset\subject_10_m\happiness\sentence,2\s10_ha_2,10,m,happiness,3,1041,5.573191165924072,8.489593472660317e-10,1686.0322265625,1678.89404296875,40.974308013916016,68656.140625,461,0.3643206059932709,0.09860046952962875,0.31400710344314575,424.0691833496094,52,0.14225001633167267,0.3149995803833008,0.005703307688236237,0.07552024722099304,13.79825210571289,34,2285.810748691865,1049.6435872275833,4837.897578392132,888254.1131576798,942.4723407918557,221723.64262311088,43,1952.8108425348914,1287.0918315250242,2688.762779169592,162602.4049150384,403.23988507467664,189422.65172588447,39,4190.3169297680415,1119.7265625,7278.22265625,2237412.051865038,1495.7981320569424,406460.7421875,221,22.533506869395417,7.639242788871304,47.203806883472964,73.71755593785636,8.58589284453611,15300.251164319488,39,0.14129449903350516,0.0419921875,0.39697265625,0.007356384707911133,0.08576936928712449,13.70556640625,-144.20509338378906,92.015625,-32.75650405883789,29.558658599853516,-34.291656494140625,-3.9394640922546387,-29.82061767578125,0.87440425157547,-23.401342391967773,-9.83881950378418,-20.010305404663086,-4.412098407745361,-8.507163047790527,-10.54985237121582,-13.657668113708496,-4.964683532714844,-4.350688457489014,-3.220043659210205,-14.214394569396973,-0.5510712265968323
eNTERFACE05_Dataset\subject_10_m\happiness\sentence,3\s10_ha_3,10,m,happiness,3,1229,3.9661054611206055,6.616474590437349e-10,1549.8072509765625,761.4187622070312,27.59381675720215,54902.796875,547,0.3957700729370117,0.09339849650859833,0.30561167001724243,517.667236328125,63,0.11084029823541641,0.27817025780677795,0.006925984285771847,0.08322250097990036,12.081592559814453,45,2151.208890870045,683.0035573996892,5024.478835423156,717906.8218983694,847.2938226485363,234481.76910483488,55,1857.8166964171573,834.6845931877476,2967.7030838878404,293242.0341110424,541.5182675691028,202502.01990947014,53,4188.405560134748,559.86328125,7407.421875,2484720.8485750025,1576.299733101228,456536.2060546875,278,21.762954206903355,6.9037932930614545,44.958632840044906,70.98386214837534,8.425192113440223,16605.13405986726,36,0.12627221903669725,0.0380859375,0.39013671875,0.004744153584246784,0.06887781634348453,13.763671875,-206.7759246826172,100.76100158691406,-36.14813232421875,33.2906608581543,-16.6778507232666,-0.5466660857200623,-18.400054931640625,1.6766258478164673,-19.68960189819336,-13.040080070495605,-12.236931800842285,-7.227512359619141,-2.635035276412964,-7.032828330993652,-1.0995773077011108,0.493869423866272,-9.061898231506348,-1.8285491466522217,-5.772762298583984,2.9236013889312744
eNTERFACE05_Dataset\subject_10_m\happiness\sentence,4\s10_ha_4,10,m,happiness,3,903,2.973381757736206,5.775271372243651e-10,602.5171508789062,387.13848876953125,19.67583465576172,28321.4609375,374,0.39489108324050903,0.09626025706529617,0.3102583587169647,355.4019775390625,36,0.09020047634840012,0.24251879751682281,0.006361722480505705,0.07976040989160538,6.765035629272461,29,2152.5577565836734,1332.8661257073618,4721.166162035167,575692.6389532877,758.7441195510432,161441.8317437755,32,1942.870424846789,1177.1788151883482,2623.723544442324,108061.79995584983,328.7275466945991,145715.28186350918,32,4339.5146484375,2325.5859375,6675.29296875,1299781.094461441,1140.0794246285832,325463.5986328125,162,21.15284605331601,6.155631900084758,46.10066206871713,76.56902684675389,8.750372954723352,11105.244177990906,23,0.12741536458333333,0.05908203125,0.4296875,0.006304415978325738,0.07940035250756597,9.55615234375,-211.73211669921875,103.04146575927734,-33.24130630493164,18.95533561706543,-41.85679626464844,5.87851095199585,-16.580238342285156,-2.0045790672302246,-16.736736297607422,-6.613105297088623,-11.272988319396973,-10.626704216003418,-10.072866439819336,-10.136754989624023,-7.736917972564697,-1.1902014017105103,-3.2599129676818848,-2.9259567260742188,-7.404197692871094,2.195070743560791
eNTERFACE05_Dataset\subject_10_m\happiness\sentence,5\s10_ha_5,10,m,happiness,3,897,3.8411319255828857,1.1129603905146723e-09,601.0089721679688,485.17791748046875,22.02675437927246,33659.83984375,332,0.3723757863044739,0.08925601840019226,0.2987574636936188,308.3271484375,38,0.12106294184923172,0.255860835313797,0.00496160751208663,0.0704386755824089,8.35334300994873,21,2241.1670896307546,1019.2250658579686,4580.303532089514,953342.1233759392,976.3924023546779,154640.52918452208,26,1846.7320237808824,1291.836076798688,2571.8283488295724,144193.5372185548,379.72824127072084,127424.50964088089,24,4061.349354619565,2217.919921875,6696.826171875,1935694.0658872204,1391.2922287884815,280233.10546875,156,22.479608807875127,8.296176650958365,44.38523615571594,68.086723110467,8.251467936704778,10857.651054203687,28,0.14457370923913043,0.03076171875,0.4150390625,0.009470585388587418,0.09731693269204192,9.9755859375,-156.76736450195312,99.60357666015625,-43.40896987915039,30.096046447753906,-33.84103012084961,3.2902817726135254,-27.342578887939453,3.323523759841919,-21.537221908569336,-13.308241844177246,-16.975936889648438,-10.580500602722168,-10.425518035888672,-8.07857608795166,-5.221981525421143,1.5004289150238037,-7.481760025024414,1.243979811668396,-10.65503215789795,3.0838255882263184
